VARIAVEL,FAIXA_1,FAIXA_2,FAIXA_3,FAIXA_4,FAIXA_5,FAIXA_6,FAIXA_7,FAIXA_8,FAIXA_9,FAIXA_10,FAIXA_11,FAIXA_12,FAIXA_13,FAIXA_14,FAIXA_15,FAIXA_16
LAMBDA,0.000255928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORT_EQ,1.452054794520548e-06,6.575342465753425e-07,7.945205479452054e-07,2.7397260273972604e-06,3.8356164383561645e-06,4.10958904109589e-06,4.657534246575343e-06,5.753424657534247e-06,7.671232876712329e-06,1.0958904109589042e-05,1.6164383561643838e-05,2.301369863013699e-05,3.315068493150685e-05,7.616438356164384e-05,0.00011753424657534246,0.00013972602739726028
MORT_COV,0.10369637887728211,0.10369637887728211,0.005734763346282989,0.005734763346282989,0.02324904059303914,0.02324904059303914,0.017577751304542377,0.017577751304542377,0.028909535555801513,0.028909535555801513,0.06651732726720357,0.06651732726720357,0.15288649155246892,0.15288649155246892,0.16350486072366044,0.18990111582306674
ALPHA,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
RHO,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PHI,0.0001,0.0001,0.0104,0.0104,0.0104,0.0104,0.0343,0.0343,0.0425,0.0425,0.0816,0.0816,0.118,0.118,0.3,0.3
ETA,3.33e-05,3.33e-05,0.0001,0.0001,0.003466667,0.003466667,0.011433333,0.011433333,0.014166667,0.014166667,0.0272,0.0272,0.039333333,0.039333333,0.055333333,0.056666667
A,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184
GAMA_H,1.8128737565958416e-05,1.8128737565958416e-05,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.006438371305193355,0.006438371305193355,0.008045893466512556,0.008045893466512556,0.016105804169029493,0.016105804169029493,0.024251441198183836,0.024251441198183836,0.07768682010943637,0.07768682010943637
GAMA_HR,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454
GAMA_RI,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RA,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RQI,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RQA,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_HQI,1.8128737565958416e-05,1.8128737565958416e-05,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.006438371305193355,0.006438371305193355,0.008045893466512556,0.008045893466512556,0.016105804169029493,0.016105804169029493,0.024251441198183836,0.024251441198183836,0.07768682010943637,0.07768682010943637
TC,2.6e-05,2.6e-05,0.000148,0.000148,0.0006,0.0006,0.00146,0.00146,0.00295,0.00295,0.0125,0.0125,0.0399,0.0399,0.0861,0.1
TLC,0.25999999999999995,0.25999999999999995,0.01423076923076923,0.01423076923076923,0.05769230769230769,0.05769230769230769,0.04256559766763848,0.04256559766763848,0.06941176470588234,0.06941176470588234,0.15318627450980393,0.15318627450980393,0.338135593220339,0.338135593220339,0.287,0.33333333333333337
